study_set,study_name,recording_name,recording_key,rows,matched_rows,unmatched_rows,sorters,sorter_names,common_sorter_count,common_sorters,missing_common_sorters,missing_common_sorter_count,union_sorter_count,union_sorters,missing_union_sorters,missing_union_sorter_count
PAIRED_BOYDEN,paired_boyden32c,1103_1_1,PAIRED_BOYDEN::paired_boyden32c::1103_1_1,203,10,193,8,IronClust|JRClust|KiloSort|KiloSort2|Klusta|MountainSort4|SpykingCircus|Tridesclous,8,IronClust|JRClust|KiloSort|KiloSort2|Klusta|MountainSort4|SpykingCircus|Tridesclous,,0,8,IronClust|JRClust|KiloSort|KiloSort2|Klusta|MountainSort4|SpykingCircus|Tridesclous,,0
PAIRED_BOYDEN,paired_boyden32c,419_1_7,PAIRED_BOYDEN::paired_boyden32c::419_1_7,313,17,296,8,IronClust|JRClust|KiloSort|KiloSort2|Klusta|MountainSort4|SpykingCircus|Tridesclous,8,IronClust|JRClust|KiloSort|KiloSort2|Klusta|MountainSort4|SpykingCircus|Tridesclous,,0,8,IronClust|JRClust|KiloSort|KiloSort2|Klusta|MountainSort4|SpykingCircus|Tridesclous,,0
PAIRED_BOYDEN,paired_boyden32c,419_1_8,PAIRED_BOYDEN::paired_boyden32c::419_1_8,298,11,287,7,IronClust|JRClust|KiloSort|KiloSort2|MountainSort4|SpykingCircus|Tridesclous,8,IronClust|JRClust|KiloSort|KiloSort2|Klusta|MountainSort4|SpykingCircus|Tridesclous,Klusta,1,8,IronClust|JRClust|KiloSort|KiloSort2|Klusta|MountainSort4|SpykingCircus|Tridesclous,Klusta,1
PAIRED_BOYDEN,paired_boyden32c,509_1_1,PAIRED_BOYDEN::paired_boyden32c::509_1_1,93,5,88,7,IronClust|JRClust|KiloSort|KiloSort2|Klusta|MountainSort4|SpykingCircus,8,IronClust|JRClust|KiloSort|KiloSort2|Klusta|MountainSort4|SpykingCircus|Tridesclous,Tridesclous,1,8,IronClust|JRClust|KiloSort|KiloSort2|Klusta|MountainSort4|SpykingCircus|Tridesclous,Tridesclous,1
PAIRED_CRCNS_HC1,paired_crcns,d11221_d11221.001,PAIRED_CRCNS_HC1::paired_crcns::d11221_d11221.001,39,1,38,7,IronClust|JRClust|KiloSort|Klusta|MountainSort4|SpykingCircus|Tridesclous,8,IronClust|JRClust|KiloSort|KiloSort2|Klusta|MountainSort4|SpykingCircus|Tridesclous,KiloSort2,1,8,IronClust|JRClust|KiloSort|KiloSort2|Klusta|MountainSort4|SpykingCircus|Tridesclous,KiloSort2,1
PAIRED_CRCNS_HC1,paired_crcns,d11221_d11221.002,PAIRED_CRCNS_HC1::paired_crcns::d11221_d11221.002,61,7,54,8,IronClust|JRClust|KiloSort|KiloSort2|Klusta|MountainSort4|SpykingCircus|Tridesclous,8,IronClust|JRClust|KiloSort|KiloSort2|Klusta|MountainSort4|SpykingCircus|Tridesclous,,0,8,IronClust|JRClust|KiloSort|KiloSort2|Klusta|MountainSort4|SpykingCircus|Tridesclous,,0
PAIRED_CRCNS_HC1,paired_crcns,d11222_d11222.001,PAIRED_CRCNS_HC1::paired_crcns::d11222_d11222.001,33,6,27,6,IronClust|KiloSort|Klusta|MountainSort4|SpykingCircus|Tridesclous,8,IronClust|JRClust|KiloSort|KiloSort2|Klusta|MountainSort4|SpykingCircus|Tridesclous,JRClust|KiloSort2,2,8,IronClust|JRClust|KiloSort|KiloSort2|Klusta|MountainSort4|SpykingCircus|Tridesclous,JRClust|KiloSort2,2
PAIRED_CRCNS_HC1,paired_crcns,d11222_d11222.002,PAIRED_CRCNS_HC1::paired_crcns::d11222_d11222.002,51,8,43,8,IronClust|JRClust|KiloSort|KiloSort2|Klusta|MountainSort4|SpykingCircus|Tridesclous,8,IronClust|JRClust|KiloSort|KiloSort2|Klusta|MountainSort4|SpykingCircus|Tridesclous,,0,8,IronClust|JRClust|KiloSort|KiloSort2|Klusta|MountainSort4|SpykingCircus|Tridesclous,,0
PAIRED_ENGLISH,paired_english,m108_191125_171427,PAIRED_ENGLISH::paired_english::m108_191125_171427,243,4,239,7,HerdingSpikes2|IronClust|KiloSort|KiloSort2|MountainSort4|SpykingCircus|Tridesclous,7,HerdingSpikes2|IronClust|KiloSort|KiloSort2|MountainSort4|SpykingCircus|Tridesclous,,0,7,HerdingSpikes2|IronClust|KiloSort|KiloSort2|MountainSort4|SpykingCircus|Tridesclous,,0
PAIRED_ENGLISH,paired_english,m113_191125_204935,PAIRED_ENGLISH::paired_english::m113_191125_204935,109,9,100,6,HerdingSpikes2|IronClust|KiloSort|MountainSort4|SpykingCircus|Tridesclous,7,HerdingSpikes2|IronClust|KiloSort|KiloSort2|MountainSort4|SpykingCircus|Tridesclous,KiloSort2,1,7,HerdingSpikes2|IronClust|KiloSort|KiloSort2|MountainSort4|SpykingCircus|Tridesclous,KiloSort2,1
PAIRED_ENGLISH,paired_english,m139_200114_191955,PAIRED_ENGLISH::paired_english::m139_200114_191955,353,3,350,7,HerdingSpikes2|IronClust|KiloSort|KiloSort2|MountainSort4|SpykingCircus|Tridesclous,7,HerdingSpikes2|IronClust|KiloSort|KiloSort2|MountainSort4|SpykingCircus|Tridesclous,,0,7,HerdingSpikes2|IronClust|KiloSort|KiloSort2|MountainSort4|SpykingCircus|Tridesclous,,0
PAIRED_ENGLISH,paired_english,m139_200114_205038,PAIRED_ENGLISH::paired_english::m139_200114_205038,287,0,287,6,HerdingSpikes2|IronClust|KiloSort|KiloSort2|MountainSort4|Tridesclous,7,HerdingSpikes2|IronClust|KiloSort|KiloSort2|MountainSort4|SpykingCircus|Tridesclous,SpykingCircus,1,7,HerdingSpikes2|IronClust|KiloSort|KiloSort2|MountainSort4|SpykingCircus|Tridesclous,SpykingCircus,1
PAIRED_ENGLISH,paired_english,m139_200114_222743,PAIRED_ENGLISH::paired_english::m139_200114_222743,316,7,309,7,HerdingSpikes2|IronClust|KiloSort|KiloSort2|MountainSort4|SpykingCircus|Tridesclous,7,HerdingSpikes2|IronClust|KiloSort|KiloSort2|MountainSort4|SpykingCircus|Tridesclous,,0,7,HerdingSpikes2|IronClust|KiloSort|KiloSort2|MountainSort4|SpykingCircus|Tridesclous,,0
PAIRED_ENGLISH,paired_english,m14_190326_155432,PAIRED_ENGLISH::paired_english::m14_190326_155432,198,3,195,6,HerdingSpikes2|IronClust|KiloSort|MountainSort4|SpykingCircus|Tridesclous,7,HerdingSpikes2|IronClust|KiloSort|KiloSort2|MountainSort4|SpykingCircus|Tridesclous,KiloSort2,1,7,HerdingSpikes2|IronClust|KiloSort|KiloSort2|MountainSort4|SpykingCircus|Tridesclous,KiloSort2,1
PAIRED_ENGLISH,paired_english,m15_190315_142052_cell1,PAIRED_ENGLISH::paired_english::m15_190315_142052_cell1,349,6,343,7,HerdingSpikes2|IronClust|KiloSort|KiloSort2|MountainSort4|SpykingCircus|Tridesclous,7,HerdingSpikes2|IronClust|KiloSort|KiloSort2|MountainSort4|SpykingCircus|Tridesclous,,0,7,HerdingSpikes2|IronClust|KiloSort|KiloSort2|MountainSort4|SpykingCircus|Tridesclous,,0
PAIRED_ENGLISH,paired_english,m15_190315_150831_cell1,PAIRED_ENGLISH::paired_english::m15_190315_150831_cell1,118,3,115,7,HerdingSpikes2|IronClust|KiloSort|KiloSort2|MountainSort4|SpykingCircus|Tridesclous,7,HerdingSpikes2|IronClust|KiloSort|KiloSort2|MountainSort4|SpykingCircus|Tridesclous,,0,7,HerdingSpikes2|IronClust|KiloSort|KiloSort2|MountainSort4|SpykingCircus|Tridesclous,,0
PAIRED_ENGLISH,paired_english,m15_190315_152315_cell1,PAIRED_ENGLISH::paired_english::m15_190315_152315_cell1,306,6,300,7,HerdingSpikes2|IronClust|KiloSort|KiloSort2|MountainSort4|SpykingCircus|Tridesclous,7,HerdingSpikes2|IronClust|KiloSort|KiloSort2|MountainSort4|SpykingCircus|Tridesclous,,0,7,HerdingSpikes2|IronClust|KiloSort|KiloSort2|MountainSort4|SpykingCircus|Tridesclous,,0
PAIRED_ENGLISH,paired_english,m26_190524_100859_cell1,PAIRED_ENGLISH::paired_english::m26_190524_100859_cell1,34,3,31,5,IronClust|KiloSort|KiloSort2|MountainSort4|SpykingCircus,7,HerdingSpikes2|IronClust|KiloSort|KiloSort2|MountainSort4|SpykingCircus|Tridesclous,HerdingSpikes2|Tridesclous,2,7,HerdingSpikes2|IronClust|KiloSort|KiloSort2|MountainSort4|SpykingCircus|Tridesclous,HerdingSpikes2|Tridesclous,2
PAIRED_ENGLISH,paired_english,m26_190524_100859_cell3,PAIRED_ENGLISH::paired_english::m26_190524_100859_cell3,31,0,31,5,IronClust|KiloSort|KiloSort2|MountainSort4|SpykingCircus,7,HerdingSpikes2|IronClust|KiloSort|KiloSort2|MountainSort4|SpykingCircus|Tridesclous,HerdingSpikes2|Tridesclous,2,7,HerdingSpikes2|IronClust|KiloSort|KiloSort2|MountainSort4|SpykingCircus|Tridesclous,HerdingSpikes2|Tridesclous,2
PAIRED_ENGLISH,paired_english,m57_191105_141906,PAIRED_ENGLISH::paired_english::m57_191105_141906,186,6,180,5,HerdingSpikes2|IronClust|KiloSort|MountainSort4|SpykingCircus,7,HerdingSpikes2|IronClust|KiloSort|KiloSort2|MountainSort4|SpykingCircus|Tridesclous,KiloSort2|Tridesclous,2,7,HerdingSpikes2|IronClust|KiloSort|KiloSort2|MountainSort4|SpykingCircus|Tridesclous,KiloSort2|Tridesclous,2
PAIRED_ENGLISH,paired_english,m57_191105_153915,PAIRED_ENGLISH::paired_english::m57_191105_153915,209,5,204,7,HerdingSpikes2|IronClust|KiloSort|KiloSort2|MountainSort4|SpykingCircus|Tridesclous,7,HerdingSpikes2|IronClust|KiloSort|KiloSort2|MountainSort4|SpykingCircus|Tridesclous,,0,7,HerdingSpikes2|IronClust|KiloSort|KiloSort2|MountainSort4|SpykingCircus|Tridesclous,,0
PAIRED_ENGLISH,paired_english,m57_191105_160026,PAIRED_ENGLISH::paired_english::m57_191105_160026,97,10,87,6,HerdingSpikes2|IronClust|KiloSort|MountainSort4|SpykingCircus|Tridesclous,7,HerdingSpikes2|IronClust|KiloSort|KiloSort2|MountainSort4|SpykingCircus|Tridesclous,KiloSort2,1,7,HerdingSpikes2|IronClust|KiloSort|KiloSort2|MountainSort4|SpykingCircus|Tridesclous,KiloSort2,1
PAIRED_ENGLISH,paired_english,m57_191105_161455,PAIRED_ENGLISH::paired_english::m57_191105_161455,315,6,309,7,HerdingSpikes2|IronClust|KiloSort|KiloSort2|MountainSort4|SpykingCircus|Tridesclous,7,HerdingSpikes2|IronClust|KiloSort|KiloSort2|MountainSort4|SpykingCircus|Tridesclous,,0,7,HerdingSpikes2|IronClust|KiloSort|KiloSort2|MountainSort4|SpykingCircus|Tridesclous,,0
PAIRED_KAMPFF,paired_kampff,2014_11_25_Pair_3_0,PAIRED_KAMPFF::paired_kampff::2014_11_25_Pair_3_0,219,6,213,7,HerdingSpikes2|IronClust|KiloSort|KiloSort2|MountainSort4|SpykingCircus|Tridesclous,8,HerdingSpikes2|IronClust|JRClust|KiloSort|KiloSort2|MountainSort4|SpykingCircus|Tridesclous,JRClust,1,8,HerdingSpikes2|IronClust|JRClust|KiloSort|KiloSort2|MountainSort4|SpykingCircus|Tridesclous,JRClust,1
PAIRED_KAMPFF,paired_kampff,2015_09_03_Pair_9_0A,PAIRED_KAMPFF::paired_kampff::2015_09_03_Pair_9_0A,567,12,555,8,HerdingSpikes2|IronClust|JRClust|KiloSort|KiloSort2|MountainSort4|SpykingCircus|Tridesclous,8,HerdingSpikes2|IronClust|JRClust|KiloSort|KiloSort2|MountainSort4|SpykingCircus|Tridesclous,,0,8,HerdingSpikes2|IronClust|JRClust|KiloSort|KiloSort2|MountainSort4|SpykingCircus|Tridesclous,,0
PAIRED_KAMPFF,paired_kampff,2015_09_03_Pair_9_0B,PAIRED_KAMPFF::paired_kampff::2015_09_03_Pair_9_0B,589,11,578,8,HerdingSpikes2|IronClust|JRClust|KiloSort|KiloSort2|MountainSort4|SpykingCircus|Tridesclous,8,HerdingSpikes2|IronClust|JRClust|KiloSort|KiloSort2|MountainSort4|SpykingCircus|Tridesclous,,0,8,HerdingSpikes2|IronClust|JRClust|KiloSort|KiloSort2|MountainSort4|SpykingCircus|Tridesclous,,0
PAIRED_KAMPFF,paired_kampff,c14,PAIRED_KAMPFF::paired_kampff::c14,368,6,362,7,HerdingSpikes2|IronClust|KiloSort|KiloSort2|MountainSort4|SpykingCircus|Tridesclous,8,HerdingSpikes2|IronClust|JRClust|KiloSort|KiloSort2|MountainSort4|SpykingCircus|Tridesclous,JRClust,1,8,HerdingSpikes2|IronClust|JRClust|KiloSort|KiloSort2|MountainSort4|SpykingCircus|Tridesclous,JRClust,1
PAIRED_MEA64C_YGER,paired_mea64c,20160415_patch2,PAIRED_MEA64C_YGER::paired_mea64c::20160415_patch2,1059,8,1051,7,HerdingSpikes2|IronClust|JRClust|KiloSort|MountainSort4|SpykingCircus|Tridesclous,9,HerdingSpikes2|IronClust|JRClust|KiloSort|KiloSort2|Klusta|MountainSort4|SpykingCircus|Tridesclous,KiloSort2|Klusta,2,9,HerdingSpikes2|IronClust|JRClust|KiloSort|KiloSort2|Klusta|MountainSort4|SpykingCircus|Tridesclous,KiloSort2|Klusta,2
PAIRED_MEA64C_YGER,paired_mea64c,20170621_patch1,PAIRED_MEA64C_YGER::paired_mea64c::20170621_patch1,824,8,816,7,HerdingSpikes2|IronClust|KiloSort|KiloSort2|MountainSort4|SpykingCircus|Tridesclous,9,HerdingSpikes2|IronClust|JRClust|KiloSort|KiloSort2|Klusta|MountainSort4|SpykingCircus|Tridesclous,JRClust|Klusta,2,9,HerdingSpikes2|IronClust|JRClust|KiloSort|KiloSort2|Klusta|MountainSort4|SpykingCircus|Tridesclous,JRClust|Klusta,2
PAIRED_MEA64C_YGER,paired_mea64c,20170622_patch1,PAIRED_MEA64C_YGER::paired_mea64c::20170622_patch1,436,9,427,8,HerdingSpikes2|IronClust|KiloSort|KiloSort2|Klusta|MountainSort4|SpykingCircus|Tridesclous,9,HerdingSpikes2|IronClust|JRClust|KiloSort|KiloSort2|Klusta|MountainSort4|SpykingCircus|Tridesclous,JRClust,1,9,HerdingSpikes2|IronClust|JRClust|KiloSort|KiloSort2|Klusta|MountainSort4|SpykingCircus|Tridesclous,JRClust,1
PAIRED_MEA64C_YGER,paired_mea64c,20170622_patch2,PAIRED_MEA64C_YGER::paired_mea64c::20170622_patch2,678,11,667,9,HerdingSpikes2|IronClust|JRClust|KiloSort|KiloSort2|Klusta|MountainSort4|SpykingCircus|Tridesclous,9,HerdingSpikes2|IronClust|JRClust|KiloSort|KiloSort2|Klusta|MountainSort4|SpykingCircus|Tridesclous,,0,9,HerdingSpikes2|IronClust|JRClust|KiloSort|KiloSort2|Klusta|MountainSort4|SpykingCircus|Tridesclous,,0
